1751090400000,"2422.20000000","2427.56000000","2422.04000000","2427.47000000","3491.80160000",1751093999999,"8468372.96596000",22860,"1604.56520000","3891292.76539300","0"
1751094000000,"2427.48000000","2433.86000000","2424.37000000","2431.76000000","9106.61030000",1751097599999,"22116108.28417000",33463,"5092.91310000","12370112.27075400","0"
1751097600000,"2431.77000000","2432.44000000","2419.87000000","2424.49000000","17905.43890000",1751101199999,"43397163.69309800",44993,"6951.03000000","16843486.33822700","0"
1751101200000,"2424.49000000","2428.55000000","2419.65000000","2427.12000000","6690.58990000",1751104799999,"16220840.36673700",23182,"1969.27410000","4774493.46022400","0"
1751104800000,"2427.12000000","2430.26000000","2423.80000000","2426.14000000","5526.28380000",1751108399999,"13414786.65173200",24904,"1840.64170000","4468103.35371700","0"
1751108400000,"2426.14000000","2428.86000000","2426.14000000","2427.42000000","5598.41270000",1751111999999,"13590250.14435900",19209,"2467.97280000","5990823.85064100","0"
1751112000000,"2427.42000000","2428.19000000","2422.78000000","2426.09000000","5922.71990000",1751115599999,"14369075.45062700",24416,"2666.62940000","6468830.65881800","0"
1751115600000,"2426.09000000","2429.38000000","2420.00000000","2422.95000000","4926.93670000",1751119199999,"11944208.33889600",34248,"2580.82580000","6257272.99919900","0"
1751119200000,"2422.94000000","2427.69000000","2422.65000000","2425.57000000","3803.83480000",1751122799999,"9227500.23083400",25161,"2068.33220000","5017069.48532800","0"
1751122800000,"2425.58000000","2443.00000000","2423.20000000","2436.09000000","9307.34960000",1751126399999,"22635502.10078600",47103,"5591.61110000","13600650.82087500","0"
1751126400000,"2436.10000000","2443.72000000","2431.64000000","2434.85000000","12506.63150000",1751129999999,"30476108.31222400",76381,"6774.91070000","16509683.30152500","0"
1751130000000,"2434.84000000","2447.80000000","2433.31000000","2444.06000000","7713.10060000",1751133599999,"18825568.18258300",56452,"4307.92460000","10514883.20695700","0"
1751133600000,"2444.06000000","2444.69000000","2432.84000000","2437.02000000","8572.99440000",1751137199999,"20899350.64885500",49171,"4193.64990000","10221827.68051000","0"
1751137200000,"2437.01000000","2440.00000000","2432.31000000","2433.22000000","4541.50280000",1751140799999,"11061533.67687500",35569,"2667.90910000","6497743.23879900","0"
1751140800000,"2433.21000000","2435.08000000","2427.44000000","2429.62000000","4599.02250000",1751144399999,"11179818.33048400",33993,"1956.46240000","4756207.82521500","0"
1751144400000,"2429.62000000","2438.34000000","2429.27000000","2436.63000000","2768.66370000",1751147999999,"6734608.11677300",26368,"1412.61160000","3436257.17885600","0"
1751148000000,"2436.63000000","2441.45000000","2434.14000000","2440.22000000","4008.09830000",1751151599999,"9771635.22337600",42347,"2123.15180000","5175784.44833700","0"
1751151600000,"2440.22000000","2442.21000000","2435.15000000","2435.62000000","2987.28120000",1751155199999,"7284381.47586500",27673,"1840.48310000","4487983.34356600","0"
1751155200000,"2435.62000000","2442.77000000","2432.00000000","2438.57000000","6262.83790000",1751158799999,"15266155.76976300",38807,"4319.86490000","10529901.08175200","0"
1751158800000,"2438.57000000","2438.59000000","2428.18000000","2429.59000000","6272.60530000",1751162399999,"15262340.17418600",28284,"3561.28110000","8666080.58102800","0"
1751162400000,"2429.59000000","2433.48000000","2424.65000000","2431.77000000","5928.78500000",1751165999999,"14400584.27386400",38033,"2694.75400000","6545502.46417200","0"
1751166000000,"2431.78000000","2432.92000000","2426.65000000","2427.86000000","2758.00210000",1751169599999,"6701316.52136300",22828,"988.78730000","2402767.14319800","0"
1751169600000,"2427.87000000","2431.40000000","2426.64000000","2429.83000000","2141.13210000",1751173199999,"5201693.27170300",22443,"1097.44740000","2666364.81640900","0"
1751173200000,"2429.84000000","2434.80000000","2427.61000000","2433.77000000","3286.34880000",1751176799999,"7992138.71058300",25710,"1561.79230000","3798463.69668500","0"
1751176800000,"2433.77000000","2437.75000000","2432.62000000","2436.82000000","2548.43380000",1751180399999,"6204091.47665000",19670,"1307.22380000","3182561.89453600","0"
1751180400000,"2436.82000000","2440.50000000","2435.00000000","2440.50000000","6639.56640000",1751183999999,"16187777.14621100",28782,"2949.95400000","7192323.06174100","0"
1751184000000,"2440.51000000","2447.59000000","2438.33000000","2443.74000000","8399.51070000",1751187599999,"20515881.15521100",43323,"3910.99970000","9553116.47505600","0"
1751187600000,"2443.74000000","2457.96000000","2439.11000000","2448.29000000","20348.56840000",1751191199999,"49873586.77045700",79084,"11323.62290000","27757343.92118700","0"
1751191200000,"2448.29000000","2459.20000000","2447.68000000","2456.45000000","13067.62220000",1751194799999,"32069213.17605700",67925,"6248.34770000","15334390.96119600","0"
1751194800000,"2456.46000000","2463.88000000","2453.24000000","2462.25000000","13181.36330000",1751198399999,"32407440.55752800",47138,"7589.35220000","18658888.05612200","0"
1751198400000,"2462.24000000","2463.48000000","2449.69000000","2454.84000000","11614.18690000",1751201999999,"28511532.20470100",52877,"4938.58020000","12122381.36608000","0"
1751202000000,"2454.83000000","2456.59000000","2446.27000000","2446.91000000","8605.65720000",1751205599999,"21092277.58952300",42844,"4079.65370000","10000473.32100000","0"
